WORD,CATEGORY,BASIC
a,,
abandon,event,
ability,,
able,,
abortion,event,
about,,Prepositions
above,,
abroad,,
absence,,
absolute,,
absolutely,,
absorb,,
abuse,,
academic,,
accept,,
access,,
accident,event,
accompany,,
accomplish,,
according,,
account,,Business
accurate,,
accuse,,
achieve,,
achievement,,
acid,,Energy
acknowledge,,
acquire,,
across,,Prepositions
act,,Mind
action,,
active,,
activist,person,
activity,,
actor,person,
actress,person,
actual,,
actually,,
ad,,
adapt,,
add,,
addition,,
additional,,
address,,
adequate,,
adjust,,
adjustment,,
administration,,
administrator,person,
admire,,
admission,,
admit,,
adolescent,person,
adopt,,
adult,person,
advance,,
advanced,,
advantage,,
adventure,,
advertising,,
advice,,
advise,,
adviser,,
advocate,,
affair,,
affect,,
afford,,
afraid,,
African,,
African-American,,
after,,Prepositions
afternoon,,
again,,
against,,
age,,
agency,,
agenda,,
agent,,
aggressive,,
ago,,
agree,,
agreement,,
agricultural,,
ah,,
ahead,,
aid,,
aide,,
AIDS,,
aim,,
air,,Material
aircraft,vehicle,
airline,,
airport,location,
album,object,
alcohol,liquid,
alive,,
all,,Quantity
alliance,,
allow,,
ally,,
almost,,
alone,,
along,,
already,,
also,,
alter,,
alternative,,
although,,
always,,
AM,,
amazing,,
American,,
among,,Prepositions
amount,,Quantity
analysis,,
analyst,,
analyze,,
ancient,,
and,,Conjunctives
anger,,
angle,,Space
angry,,Mind
animal,,Animal
anniversary,,
announce,,
annual,,
another,,
answer,,
anticipate,,
anxiety,,
any,,Functions
anybody,,
anymore,,
anyone,,
anything,,
anyway,,
anywhere,,
apart,,
apartment,location,
apparent,,
apparently,,
appeal,,
appear,,
appearance,,
apple,food,Nature
application,,
apply,,
appoint,,
appointment,,
appreciate,,
approach,,
appropriate,,
approval,,
approve,,
approximately,,
Arab,,
architect,person,
area,,
argue,,
argument,,
arise,,
arm,,Body
armed,,
army,,Hierarchy
around,,
arrange,,
arrangement,,
arrest,,
arrival,,
arrive,,
art,,Mind
article,,
artist,person,
artistic,,
as,,
Asian,,
aside,,
ask,,
asleep,,
aspect,,
assault,,
assert,,
assess,,
assessment,,
asset,,
assign,,
assignment,,
assist,,
assistance,,
assistant,person,
associate,,
association,,
assume,,
assumption,,
assure,,
at,,Prepositions
athlete,person,
athletic,,
atmosphere,,
attach,,
attack,,Abstract
attempt,,Abstract
attend,,
attention,,Mind
attitude,,
attorney,,
attract,,
attractive,,
attribute,,
audience,,
author,person,
authority,,Hierarchy
auto,,
available,,
average,,
avoid,,
award,,
aware,,
awareness,,
away,,
awful,,
baby,person,People
back,,Prepositions
background,,
bad,,Opposites
badly,,
bag,object,Object
bake,,
balance,,
ball,object,Game
ban,,
band,,
bank,location,
bar,location,
barely,,
barrel,,
barrier,,
base,,Motion
baseball,,
basic,,
basically,,
basis,,
basket,object,Object
basketball,,
bathroom,location,
battery,object,
battle,,
be,,Verbs
beach,location,
bean,food,
bear,,
beat,,
beautiful,,Perception
beauty,,
because,,Prepositions
become,,Verbs
bed,object,Object
bedroom,location,
beer,food,
before,,Prepositions
begin,,
beginning,,
behavior,,
behind,,
being,,
belief,,
believe,,
bell,object,Object
belong,,
below,,
belt,object,
bench,,
bend,,
beneath,,
benefit,,
beside,,
besides,,
best,,
bet,,
better,,
between,,Prepositions
beyond,,
Bible,object,
big,,
bike,vehicle,
bill,,
billion,,
bind,,
biological,,
bird,animal,Animal
birth,,Life
birthday,,
bit,,
bite,,Activity
black,,Perception
blade,object,Object
blame,,
blanket,object,
blind,,
block,,
blood,liquid,Body
blow,,Energy
blue,,Opposites
board,object,Object
boat,vehicle,Vehicle
body,object,Body
bomb,object,
bombing,,
bond,,
bone,object,Body
book,object,Communication
boom,,
boot,object,
border,,
born,,
borrow,,
boss,person,
both,,
bother,,
bottle,object,Object
bottom,,
boundary,,
bowl,object,
box,object,Object
boy,person,People
boyfriend,person,
brain,object,Body
branch,,Form
brand,,
bread,food,Food
break,,
breakfast,food,
breast,object,
breath,,
breathe,,
brick,object,Object
bridge,location,Buildings
brief,,
briefly,,
bright,,Perception
brilliant,,
bring,,
British,,
broad,,
broken,,
brother,person,People
brown,,Perception
brush,object,Object
buck,,
budget,,
build,,
building,location,Buildings
bullet,object,
bunch,,
burden,,
burn,,Energy
bury,,
bus,vehicle,
business,,
busy,,
but,,Conjunctives
butter,food,Food
button,object,Object
buy,,
buyer,,
by,,
cabin,location,
cabinet,object,
cable,object,
cake,food,
calculate,,
call,,
camera,object,
camp,location,
campaign,,
campus,location,
can,object,
Canadian,,
cancer,,
candidate,person,
cap,,
capability,,
capable,,
capacity,,
capital,,
captain,person,
capture,,
car,object,
carbon,,
card,object,Form
care,,Mind
career,,
careful,,
carefully,,
carrier,,
carry,,
case,,
cash,object,
cast,,
cat,animal,Animal
catch,,
category,,
Catholic,,
cause,,Verbs
ceiling,location,
celebrate,,
celebration,event,
celebrity,person,
cell,,
center,,
central,,
century,,
CEO,,
ceremony,event,
certain,,Opposites
certainly,,
chain,object,Object
chair,object,
chairman,,
challenge,,
chamber,location,
champion,person,
championship,event,
chance,,
change,,Identity
changing,,
channel,,
chapter,,
character,,
characteristic,,
characterize,,
charge,,
charity,,
chart,,
chase,,
cheap,,
check,,
cheek,,
cheese,food,Food
chef,person,
chemical,,Material
chest,object,Body
chicken,animal,
chief,person,People
child,person,
childhood,,
Chinese,,
chip,object,
chocolate,food,
choice,,
cholesterol,,
choose,,
Christian,,
Christmas,event,
church,location,Buildings
cigarette,object,
circle,,Form
circumstance,,
cite,,
citizen,person,
city,location,
civil,person,
civilian,person,
claim,,
class,,
classic,,
classroom,location,
clean,,Properties
clear,,
clearly,,
client,person,
climate,,
climb,,
clinic,location,
clinical,,
clock,object,Object
close,,
closely,,
closer,,
clothes,object,
clothing,object,
cloud,object,Nature
club,object,
clue,,
cluster,,
coach,person,
coal,,Material
coalition,,
coast,location,
coat,object,Clothes
code,,
coffee,food,
cognitive,,
cold,,Opposites
collapse,,
colleague,person,
collect,,
collection,,
collective,,
college,,
colonial,,
color,,Perception
column,,
combination,,
combine,,
come,,Motion
comedy,,
comfort,,Mind
comfortable,,
command,,
commander,,
comment,,
commercial,,
commission,,
commit,,
commitment,,
committee,person,People
common,,
communicate,,
communication,,
community,person,
company,person,Business
compare,,
comparison,,
compete,,
competition,event,
competitive,,
competitor,person,
complain,,
complaint,,
complete,,Opposites
completely,,
complex,,Abstract
complicated,,
component,,
compose,,
composition,,
comprehensive,,
computer,object,
concentrate,,
concentration,,
concept,,
concern,,
concerned,,
concert,event,
conclude,,
conclusion,,
concrete,,
condition,,
conduct,,
conference,event,
confidence,,
confident,,
confirm,,
conflict,,
confront,,
confusion,,
Congress,,
congressional,,
connect,,
connection,,
consciousness,,
consensus,,
consequence,,
conservative,,
consider,,
considerable,,
consideration,,
consist,,
consistent,,
constant,,
constantly,,
constitute,,
constitutional,,
construct,,
construction,,
consultant,person,
consume,,
consumer,person,
consumption,,
contact,,
contain,,
container,object,
contemporary,,
content,,
contest,object,
context,,
continue,,
continued,,
contract,,
contrast,,
contribute,,
contribution,,
control,,Hierarchy
controversial,,
controversy,,
convention,,
conventional,,
conversation,event,
convert,,
conviction,,
convince,,
cook,,Energy
cookie,object,
cooking,,
cool,,Energy
cooperation,,
cop,,
cope,,
copy,,Identity
core,,
corn,food,
corner,,
corporate,,
corporation,person,
correct,,
correspondent,,
cost,,
cotton,object,Nature
couch,object,
could,,
council,,
counselor,person,
count,,
counter,,
country,location,
county,location,
couple,person,
courage,,
course,,
court,,
cousin,person,
cover,,Object
coverage,,
cow,animal,Animal
crack,,
craft,,
crash,,
crazy,,
cream,food,
create,,
creation,,
creative,,
creature,object,
credit,,Business
crew,person,
crime,event,Hierarchy
criminal,person,
crisis,event,
criteria,,
critic,,
critical,,
criticism,,
criticize,,
crop,object,
cross,,
crowd,person,
crucial,,
cry,,Activity
cultural,,
culture,,
cup,object,Object
curious,,
current,,
currently,,
curriculum,,
custom,,
customer,person,
cut,,
cycle,,
dad,person,
daily,,
damage,,Abstract
dance,,
danger,,Abstract
dangerous,,
dare,,
dark,,Opposites
darkness,,
data,,
date,,
daughter,person,People
day,,Time
dead,person,Opposites
deal,,
dealer,,
dear,,Opposites
death,,
debate,,
debt,,
decade,,
decide,,
decision,,
deck,location,
declare,,
decline,,
decrease,,
deep,,
deeply,,
deer,animal,
defeat,,
defend,,
defendant,,
defense,,
defensive,,
deficit,,
define,,
definitely,,
definition,,
degree,,Degree
delay,,
deliver,,
delivery,,
demand,,
democracy,,
Democrat,,
democratic,,
demonstrate,,
demonstration,,
deny,,
department,,
depend,,
dependent,,
depending,,
depict,,
depression,,
depth,,
deputy,person,
derive,,
describe,,
description,,
desert,location,
deserve,,
design,,Mind
designer,person,
desire,,Mind
desk,object,
desperate,,
despite,,
destroy,,
destruction,,
detail,,Abstract
detailed,,
detect,,
determine,,
develop,,
developing,,
development,,
device,object,
devote,,
dialogue,event,
die,,
diet,,
differ,,
difference,,
different,,Opposites
differently,,
difficult,,
difficulty,,
dig,,
digital,,
dimension,,
dining,,
dinner,event,
direct,,
direction,,Space
directly,,
director,person,
dirt,,
dirty,,Opposites
disability,,
disagree,,
disappear,,
disaster,,
discipline,,
discourse,,
discover,,
discovery,,
discrimination,,
discuss,,
discussion,event,
disease,,Life
dish,object,
dismiss,,
disorder,,
display,,
dispute,,
distance,,Space
distant,,
distinct,,
distinction,,
distinguish,,
distribute,,
distribution,,
district,,
diverse,,
diversity,,
divide,,
division,,
divorce,,
DNA,,
do,,Verbs
doctor,person,
document,object,
dog,animal,Animal
domestic,,
dominant,,
dominate,,
door,location,Buildings
double,,
doubt,,Mind
down,,Space
downtown,location,
dozen,,
draft,,
drag,,
drama,,
dramatic,,
dramatically,,
draw,,
drawing,,
dream,,
dress,object,Clothes
drink,food,Activity
drive,,
driver,person,
drop,,Form
drug,object,
dry,,Opposites
due,,
during,,
dust,object,Material
duty,,
each,,
eager,,
ear,object,Body
early,,
earn,,
earnings,,
earth,object,Nature
ease,,
easily,,
east,location,Space
eastern,,
easy,,
eat,,
economic,,
economics,,
economist,person,
economy,,
edge,,Space
edition,,
editor,,
educate,,
education,,
educational,,
educator,person,
effect,,
effective,,
effectively,,
efficiency,,
efficient,,
effort,,
egg,food,
eight,,
either,,
elderly,person,
elect,,
election,event,
electric,,
electricity,,
electronic,,
element,,
elementary,,
elevator,location,
eliminate,,
elite,,
else,,
elsewhere,,
e-mail,,
embrace,,
emerge,,
emergency,,
emission,,
emotion,,
emotional,,
emphasis,,
emphasize,,
employ,,
employee,person,
employer,person,
employment,,
empty,,
enable,,
encounter,,
encourage,,
end,,
enemy,person,
energy,,
enforcement,,
engage,,
engine,,Object
engineer,person,
engineering,,
English,,
enhance,,
enjoy,,
enormous,,
enough,,
ensure,,
enter,,
enterprise,,
entertainment,,
entire,,
entirely,,
entrance,,
entry,,
environment,,
environmental,,
episode,,
equal,,Abstract
equally,,
equipment,,
era,,
error,,
escape,,
especially,,
essay,,
essential,,
essentially,,
establish,,
establishment,,
estate,,
estimate,,
etc,,
ethics,,
ethnic,,
European,,
evaluate,,
evaluation,,
even,,Properties
evening,,
event,,
eventually,,
ever,,Time
every,,Functions
everybody,person,
everyday,,
everyone,person,
everything,,
everywhere,,
evidence,,
evolution,,
evolve,,
exact,,
exactly,,
examination,,
examine,,
example,,
exceed,,
excellent,,
except,,
exception,,
exchange,,
exciting,,
executive,,
exercise,,
exhibit,,
exhibition,,
exist,,
existence,,
existing,,
expand,,
expansion,,
expect,,
expectation,,
expense,,
expensive,,
experience,,Mind
experiment,,
expert,person,
explain,,
explanation,,
explode,,
explore,,
explosion,,
expose,,
exposure,,
express,,
expression,,
extend,,
extension,,
extensive,,
extent,,
external,,
extra,,
extraordinary,,
extreme,,
extremely,,
eye,object,Body
fabric,object,
face,object,Body
facility,location,
fact,,Communication
factor,,
factory,location,
faculty,person,
fade,,
fail,,
failure,,
fair,,
fairly,,
faith,,
fall,,Time
false,,Opposites
familiar,,
family,person,People
famous,,
fan,object,
fantasy,,
far,,Space
farm,,Buildings
farmer,,
fashion,,
fast,,
fat,,Life
fate,,
father,person,People
fault,,
favor,,
favorite,,
fear,emotion,Mind
feature,,
federal,,
fee,,
feed,,
feel,,
feeling,emotion,
fellow,,
female,,Opposites
fence,,
few,,Quantity
fewer,,
fiber,object,
fiction,,Communication
field,,Nature
fifteen,,
fifth,,
fifty,,
fight,,
fighter,person,
fighting,,
figure,,
file,,
fill,,
film,,
final,,
finally,,
finance,,
financial,,
find,,
finding,,
fine,,
finger,object,Body
finish,,
fire,,Energy
firm,,
first,,
fish,animal,Animal
fishing,,
fit,,
fitness,,
five,,
fix,,
flag,object,
flame,,
flat,location,
flavor,,
flee,,
flesh,,
flight,,
float,,
floor,location,Buildings
flow,,
flower,plant,
fly,animal,Animal
focus,,
folk,person,
follow,,
following,,
food,food,Food
foot,object,Body
football,,
for,,Prepositions
force,,Energy
foreign,,
forest,location,
forever,,
forget,,
form,,
formal,,
formation,,
former,,
formula,,
forth,,
fortune,,
forward,,
found,,
foundation,,
founder,,
four,,
fourth,,
frame,,Object
framework,,
free,,Hierarchy
freedom,,
freeze,,
French,,
frequency,,
frequent,,
frequently,,
fresh,,
friend,person,People
friendly,,
friendship,,
from,,Prepositions
front,,Space
fruit,food,
frustration,,
fuel,liquid,
full,,
fully,,
fun,,
function,,
fund,,
fundamental,,
funding,,
funeral,event,
funny,,
furniture,object,
furthermore,,
future,,Opposites
gain,,
galaxy,,
gallery,,
game,,
gang,person,
gap,,
garage,location,
garden,,Nature
garlic,food,
gas,,
gate,location,
gather,,
gay,person,
gaze,,
gear,,
gender,,
gene,,
general,,
generally,,
generate,,
generation,,
genetic,,
gentleman,person,
gently,,
German,,
gesture,,
get,,
ghost,person,
giant,,
gift,,
gifted,,
girl,person,People
girlfriend,person,
give,,Business
given,,
glad,emotion,
glance,,
glass,object,Material
global,,
glove,object,Clothes
go,,Motion
goal,,
God,person,
gold,,Material
golden,,
golf,,
good,,Abstract
government,,Hierarchy
governor,person,
grab,,
grade,,
gradually,,
graduate,,
grain,,Nature
grand,,
grandfather,person,
grandmother,person,
grant,,
grass,plant,Nature
grave,object,
gray,,
great,,
greatest,,
green,,Opposites
grocery,object,
ground,location,
group,,Quantity
grow,,
growing,,
growth,,
guarantee,,
guard,person,
guess,,
guest,person,
guide,,Mind
guideline,,
guilty,,
gun,object,Object
guy,person,
habit,,
habitat,location,
hair,object,Body
half,,
hall,location,
hand,object,Body
handful,,
handle,object,
hang,,
happen,,
happy,emotion,Mind
hard,,Abstract
hardly,,
hat,object,
hate,,Mind
have,,Verbs
he,,
head,object,Body
headline,,
headquarters,,
health,,
healthy,,Life
hear,,Perception
hearing,,
heart,object,Body
heat,,
heaven,location,
heavily,,
heavy,,
heel,object,
height,,
helicopter,vehicle,
hell,location,
hello,,
help,,
helpful,,
her,,
here,,Functions
heritage,,
hero,person,
herself,,
hey,,
hi,,
hide,,
high,,
highlight,,
highly,,
highway,location,
hill,location,
him,,
himself,,
hip,,
hire,,
his,,
historian,person,
historic,,
historical,,
history,,Communication
hit,,
hold,,
hole,object,Form
holiday,,
holy,,
home,location,
homeless,person,
honest,,
honey,food,
honor,,
hope,,Mind
horizon,location,
horror,,
horse,animal,Animal
hospital,location,Buildings
host,person,
hot,,
hotel,location,
hour,,Time
house,location,Buildings
household,person,
housing,,
how,,Functions
however,,
huge,,
human,person,
humor,,
hundred,,
hungry,emotion,
hunter,person,
hunting,,
hurt,,
husband,person,
hypothesis,,
I,,
ice,,Material
idea,,
ideal,,
identification,,
identify,,
identity,,
ie,,
if,,Conjunctives
ignore,,
ill,,Opposites
illegal,,
illness,,
illustrate,,
image,,
imagination,,
imagine,,
immediate,,
immediately,,
immigrant,,
immigration,,
impact,,
implement,,
implication,,
imply,,
importance,,
important,,Mind
impose,,
impossible,,
impress,,
impression,,
impressive,,
improve,,
improvement,,
in,,Prepositions
incentive,,
incident,,
include,,
including,,
income,,
incorporate,,
increase,,
increased,,
increasing,,
increasingly,,
incredible,,
indeed,,
independence,,
independent,,
index,,
Indian,,
indicate,,
indication,,
individual,person,
industrial,,
industry,,
infant,person,
infection,,
inflation,,
influence,,
inform,,
information,,
ingredient,food,
initial,,
initially,,
initiative,,
injury,,
inner,,
innocent,person,
inquiry,,
inside,,
insight,,
insist,,
inspire,,
install,,
instance,,
instead,,
institution,,
institutional,,
instruction,,
instructor,person,
instrument,,
insurance,,Business
intellectual,,
intelligence,,
intend,,
intense,,
intensity,,
intention,,
interaction,,
interest,,Mind
interested,,
interesting,,
internal,,
international,,
Internet,,
interpret,,
interpretation,,
intervention,,
interview,,
into,,
introduce,,
introduction,,
invasion,,
invest,,
investigate,,
investigation,,
investigator,person,
investment,,
investor,person,
invite,,
involve,,
involved,,
involvement,,
Iraqi,,
Irish,,
iron,,Material
Islamic,,
island,location,Nature
Israeli,,
issue,,
it,,
Italian,,
item,,
its,,
itself,,
jacket,object,
jail,location,
Japanese,,
jet,vehicle,
Jew,,
Jewish,,
job,,
join,,
joint,,
joke,,
journal,,
journalist,person,
journey,,
joy,emotion,
judge,person,Mind
judgment,,
juice,,
jump,,Activity
junior,,
jury,person,
just,,
justice,,
justify,,
keep,,Business
key,object,Object
kick,,Activity
kid,person,
kill,,
killer,person,
killing,,
kind,emotion,Mind
king,person,
kiss,event,Activity
kitchen,location,
knee,object,Body
knife,object,Object
knock,,
know,,
knowledge,,Mind
lab,,
label,object,
labor,,
laboratory,location,
lack,,
lady,person,
lake,location,
land,location,
landscape,location,
language,,Communication
lap,object,
large,,
largely,,
last,,Opposites
late,,Opposites
later,,
Latin,,
latter,,
laugh,,Activity
launch,,
law,,Hierarchy
lawn,plant,
lawsuit,,
lawyer,person,
lay,,
layer,,
lead,,Mind
leader,person,
leadership,,
leading,,
leaf,plant,
league,,
lean,,
learn,,
learning,,
least,,
leather,,Material
leave,,
left,,Opposites
leg,object,Body
legacy,,
legal,,
legend,,
legislation,,
legitimate,,
lemon,food,
length,,
less,,
lesson,,
let,,Hierarchy
letter,,Communication
level,,Properties
liberal,,
library,location,Buildings
license,,
lie,,
life,,
lifestyle,,
lifetime,,
lift,location,Buildings
light,object,Perception
like,,Prepositions
likely,,
limit,,
limitation,,
limited,,
line,,Form
link,,
lip,object,Body
list,,Communication
listen,,
literally,,
literary,,
literature,,
little,,Degree
live,,
living,,
load,,
loan,,
local,,
locate,,
location,location,
lock,object,Object
long,,
long-term,,
look,,Mind
loose,,Opposites
lose,,
loss,,
lost,,
lot,,
lots,,
loud,,Opposites
love,emotion,Mind
lovely,,
lover,person,
low,,Opposites
lower,,
luck,,
lucky,,
lunch,food,
lung,object,
machine,object,Object
mad,emotion,
magazine,object,
mail,,
main,,
mainly,,
maintain,,
maintenance,,
major,,
majority,,
make,,Verbs
maker,,
makeup,object,
male,,Life
mall,location,
man,person,People
manage,,
management,,
manager,person,
manner,,
manufacturer,person,
manufacturing,,
many,,
map,,Communication
margin,,
mark,,Form
market,,Buildings
marketing,,
marriage,,
married,,
marry,,
mask,object,
mass,,
massive,,
master,,
match,object,Object
material,,
math,,
matter,object,
may,,
maybe,,
mayor,,
me,,
meal,food,
mean,,
meaning,,
meanwhile,,
measure,,Quantity
measurement,,
meat,food,
mechanism,,
media,,
medical,,
medication,object,
medicine,,
medium,,
meet,,
meeting,event,
member,person,
membership,,
memory,,
mental,,
mention,,
menu,object,
mere,,
merely,,
mess,,
message,,
metal,matter,Material
meter,,
method,,
Mexican,,
middle,,Time
might,,
military,person,Hierarchy
milk,food,Food
million,,
mind,,Mind
mine,,
minister,person,
minor,,
minority,,
minute,,Time
miracle,,
mirror,object,
miss,,
missile,object,
mission,,
mistake,,
mix,,
mixture,,
mm-hmm,,
mode,,
model,,
moderate,,
modern,,
modest,,
mom,person,
moment,,
money,,Business
monitor,object,
month,,Time
mood,,
moon,,Nature
moral,,
more,,
moreover,,
morning,,Time
mortgage,,
most,,
mostly,,
mother,,People
